hero	16:9	A neatly styled arrangement of colorful 3D-printed products on a light off-white studio surface with a very faint blueprint grid pattern: a silk-gold cursive name place card, a small rainbow-silk articulated toy dragon, a warm-glowing white photo light cube, a mint-green faceted succulent planter with a tiny plant, a two-tone dog-bone keychain, and a modern phone stand holding a phone. Bright, airy, premium and a little playful, well organized with breathing room.
table-number	1:1	A single freestanding sculptural table number '12' 3D-printed in glossy silk-gold PLA with a clean weighted base and subtle horizontal layer lines, standing on a light oak table at a wedding place setting, soft window light.
cake-topper	1:1	A 3D-printed wedding cake topper reading 'Mr & Mrs' in elegant metallic-gold cursive script, inserted into the top of a simple white cake, printed PLA with fine layer detail, soft natural light.
monogram-favors	1:1	A small flat-lay set of 3D-printed monogram wedding favors on off-white linen: several initial drink stirrers and a few round name-and-date charm tags in metallic gold and blush PLA, tidy and elegant.
figurine-topper	1:1	A hand-painted 3D-printed figurine cake topper of a stylized wedding couple, about 15cm tall, detailed resin print with acrylic paint and a glossy varnish finish, displayed on a soft neutral background, boutique product photo.
name-keychain	1:1	A small group of 3D-printed name keychains in bright multi-color PLA on a light surface, including one articulated 'flexible name' keychain that bends, each with a metal split ring, playful and colorful.
nameplate	1:1	A 3D-printed desk nameplate with raised two-color lettering reading 'STUDIO', black base with white raised letters, sitting on a modern wood desk, clean minimal product photo.
cookie-cutter	1:1	A 3D-printed cookie cutter and matching detail stamp in teal PLA lying beside a freshly cut round sugar cookie and a little flour on a light marble surface, top-down product photo.
crate-tag	1:1	A 3D-printed pet crate nameplate tag with raised two-color lettering reading 'BUDDY' with a small paw-print icon, mounted on the wire door of a dog crate, warm home light.
lithophane-box	1:1	A 3D-printed white lithophane photo light box glowing warm from within, showing a soft backlit black-and-white portrait through the panel, sitting on a bedside table in a dim cozy room, emotional gift product photo.
lithophane-multi	1:1	A larger 3D-printed multi-panel lithophane light box, a cube with several glowing backlit photo panels on its sides, warm LED glow, a power cord visible, on a wooden shelf in a softly lit room.
lithophane-nightlight	1:1	A small 3D-printed lithophane nightlight: a single framed backlit photo panel clipped onto a compact white LED base, glowing softly on a nightstand, cozy warm light.
phone-stand	1:1	A minimalist 3D-printed phone stand in matte charcoal PLA holding a smartphone at an angle on a clean desk, simple modern wedge design, bright airy product photo.
phone-stand-novelty	1:1	A novelty retro-television-shaped 3D-printed phone stand in cream and teal PLA holding a phone as the 'screen', playful desk decor, bright product photo.
desk-organizer	1:1	A modular 3D-printed desk organizer in slate-gray PLA with a pen cup, a tray, and a phone slot, holding pens and a cable, on a tidy modern desk, clean product photo.
cable-holder	1:1	A set of three small 3D-printed desk cable holder clips in warm mustard PLA on the edge of a wooden desk, holding a charging cable, minimalist product photo.
planter-geometric	1:1	A faceted geometric 3D-printed succulent planter in soft sage-green PLA with a small live succulent planted in it, on a light windowsill, modern minimalist product photo.
planter-selfwatering	1:1	A whimsical two-part self-watering 3D-printed planter shaped like a cute smiling face in cream PLA, with a small green plant as 'hair', bright cheerful product photo.
vase	1:1	A tall single-wall vase-mode 3D-printed decorative vase in shimmering silk-copper filament with a spiral texture, holding a few dried pampas stems, on a light console table, elegant decor product photo.
dragon-mini	1:1	Three small 3D-printed articulated print-in-place mini dragons in rainbow-silk, teal, and purple filament, posed together on a light surface, cute poseable fidget toys, bright playful product photo.
dragon-standard	1:1	A standard 3D-printed articulated flexi dragon about 20cm long in eye-catching rainbow-silk filament, posed in an S-curve on a light wood surface, poseable print-in-place toy, crisp product photo.
dragon-large	1:1	A large impressive 18-inch 3D-printed articulated flexi dragon in deep silk-emerald and gold filament, posed dramatically, a show-stopping poseable collectible, on a neutral studio background.
turtle-sandbox	1:1	A satisfying multi-part 3D-printed turtle sandbox fidget desk toy in dual-color sand and green PLA, palm-sized, on a light desk, playful fidget product photo.
breed-planter	1:1	A 3D-printed succulent planter shaped like a cute dachshund dog in warm terracotta PLA with a small succulent planted on its back, on a light shelf, charming pet-lover product photo.
pet-id-tag	1:1	A small lightweight 3D-printed dog ID tag with a name 'MAX' and a phone number in raised two-color lettering, hanging from a tan leather collar, close-up product photo, shallow depth of field.
pet-memorial	1:1	A 3D-printed pet memorial keepsake tag in matte black and gold PLA with a small dog silhouette and the name 'REX' and dates, resting on soft neutral fabric, gentle emotional product photo.
breed-keychain	1:1	A 3D-printed dog-breed silhouette keychain of a golden retriever in silk-gold PLA with a metal ring, held up against a softly blurred outdoor background, cheerful pet product photo.
